,start,stop
0,2050-03-20 10:13:30,2050-03-20 10:13:59
1,2050-03-20 10:14:00,2050-03-20 10:14:29
2,2050-03-20 10:14:30,2050-03-20 10:14:59
3,2050-03-20 10:15:00,2050-03-20 10:15:29
4,2050-03-20 10:15:30,2050-03-20 10:15:59
5,2050-03-20 10:16:00,2050-03-20 10:16:29
6,2050-03-20 10:16:30,2050-03-20 10:16:59
7,2050-03-20 10:17:00,2050-03-20 10:17:29
8,2050-03-20 10:17:30,2050-03-20 10:17:59
9,2050-03-20 10:18:00,2050-03-20 10:18:29
10,2050-03-20 10:18:30,2050-03-20 10:18:59
11,2050-03-20 10:19:00,2050-03-20 10:19:29
12,2050-03-20 10:19:30,2050-03-20 10:19:59
13,2050-03-20 10:20:00,2050-03-20 10:20:29
14,2050-03-20 10:20:30,2050-03-20 10:20:59
15,2050-03-20 10:21:00,2050-03-20 10:21:29
16,2050-03-20 10:21:30,2050-03-20 10:21:59
17,2050-03-20 10:22:00,2050-03-20 10:22:29
18,2050-03-20 10:22:30,2050-03-20 10:22:59
19,2050-03-20 10:23:00,2050-03-20 10:23:29
20,2050-03-20 10:23:30,2050-03-20 10:23:59
